id,title,price,currency,condition,date_created,permalink,thumbnail,city,state,seller_id,seller_name,is_car_dealer,year,km,brand,model,version,fuel,transmission,color,doors,engine
MLU1336108948,Renault Sandero 1.6 Privilege 105cv,6500,USD,used,2026-04-24T22:56:41.79Z,https://auto.mercadolibre.com.uy/MLU-1336108948-renault-sandero-16-privilege-105cv-_JM,http://http2.mlstatic.com/D_834190-MLU110856753187_042026-I.jpg,Carrasco,Montevideo,57067932,POCITOS GARAGE,True,2012,200000 km,Renault,Sandero,,Nafta,Manual,Negro,5,1600 cc
MLU1336108878,Mitsubishi L200 V6 3.6 4x4 Triton,16800,USD,used,2026-04-24T22:45:24.672Z,https://auto.mercadolibre.com.uy/MLU-1336108878-mitsubishi-l200-v6-36-4x4-triton-_JM,http://http2.mlstatic.com/D_971376-MLU110856631347_042026-I.jpg,Pando,Canelones,81594496,PEDROAUTOMOVILES,True,2017,150000 km,Mitsubishi,L200,,Nafta,,Blanco,4,
MLU1336064406,Chevrolet Onix Ltz 1.4 2015 Muy Buen Estado!,9500,USD,used,2026-04-24T12:42:43.615Z,https://auto.mercadolibre.com.uy/MLU-1336064406-chevrolet-onix-ltz-14-2015-muy-buen-estado-_JM,http://http2.mlstatic.com/D_970799-MLU110839632525_042026-I.jpg,Montevideo,Montevideo,746930401,VIPERCAR_AUTOMOVILES_8,True,2015,180000 km,Chevrolet,Onix,,Nafta,Manual,Rojo,5,1400 cc
MLU1336030666,Volkswagen Saveiro 1.6 Gp Cd Trendline 101cv,14000,USD,used,2026-04-24T21:45:53.228Z,https://auto.mercadolibre.com.uy/MLU-1336030666-volkswagen-saveiro-16-gp-cd-trendline-101cv-_JM,http://http2.mlstatic.com/D_816947-MLU109950417588_042026-I.jpg,Playa Pascual,San José,374462198,ANEM8442278,False,2017,121945 km,Volkswagen,Saveiro,,Nafta,Manual,Blanco,2,1600 cc
MLU1336025282,Nissan March 1.6 Advance Mt,10500,USD,used,2026-04-24T12:38:29.477Z,https://auto.mercadolibre.com.uy/MLU-1336025282-nissan-march-16-advance-mt-_JM,http://http2.mlstatic.com/D_842947-MLU109933150038_042026-I.jpg,Pocitos,Montevideo,237774682,JUSTINOLAFLUF,False,2016,103000 km,Nissan,March,,Nafta,Manual,Gris,5,1600 cc
MLU1336025464,Volkswagen Virtus 1.6 Msi Trendline,17500,USD,used,2026-04-24T13:06:53.26Z,https://auto.mercadolibre.com.uy/MLU-1336025464-volkswagen-virtus-16-msi-trendline-_JM,http://http2.mlstatic.com/D_950789-MLU110836912223_042026-I.jpg,Shangrilá,Canelones,243961923,ISSOGARAGE,True,2023,150000 km,Volkswagen,Virtus,,Nafta,Manual,Blanco,4,1600 cc
MLU1336026904,Volkswagen Sharan 2.0 Highline Tsi 200cv Dsg,16490,USD,used,2026-04-24T15:41:31.895Z,https://auto.mercadolibre.com.uy/MLU-1336026904-volkswagen-sharan-20-highline-tsi-200cv-dsg-_JM,http://http2.mlstatic.com/D_678280-MLU110844127333_042026-I.jpg,Carrasco,Montevideo,184762554,AUTOMOTORA NOAHCARS,True,2013,150000 km,Volkswagen,Sharan,,Nafta,Automática,Gris,5,2000 cc
MLU1336040594,Mercedes Benz Glc 300 4matic,73990,USD,used,2026-04-24T16:52:32.395Z,https://auto.mercadolibre.com.uy/MLU-1336040594-mercedes-benz-glc-300-4matic-_JM,http://http2.mlstatic.com/D_939614-MLU110846973515_042026-I.jpg,Tres Cruces,Montevideo,50915193,PAREJAAUTOMOVILES,True,2023,30000 km,Mercedes-Benz,GLC,,Nafta,Automática,Gris,5,2000 cc
MLU1336031020,Chevrolet S10 2.8 4x4,28500,USD,used,2026-04-24T22:39:59.295Z,https://auto.mercadolibre.com.uy/MLU-1336031020-chevrolet-s10-28-4x4-_JM,http://http2.mlstatic.com/D_800902-MLU109951173980_042026-I.jpg,Pando,Canelones,81594496,PEDROAUTOMOVILES,True,2021,92000 km,Chevrolet,S-10,,Diésel,,Blanco,4,
MLU1336064304,Chevrolet Onix 1.4 Activ,11300,USD,used,2026-04-24T12:19:22.35Z,https://auto.mercadolibre.com.uy/MLU-1336064304-chevrolet-onix-14-activ-_JM,http://http2.mlstatic.com/D_956490-MLU110834993091_042026-I.jpg,Unión,Montevideo,60382964,ROSAMORA842009,False,2018,75000 km,Chevrolet,Onix,,Nafta,Manual,Gris,5,1400 cc
MLU1336025890,Chevrolet Onix 1.0 Lt 78cv,12100,USD,used,2026-04-24T14:02:57.015Z,https://auto.mercadolibre.com.uy/MLU-1336025890-chevrolet-onix-10-lt-78cv-_JM,http://http2.mlstatic.com/D_940472-MLU109937603608_042026-I.jpg,El Colorado,Canelones,27099354,SEBA_TR17,False,2019,114000 km,Chevrolet,Onix,,Nafta,Manual,Gris,5,1000 cc
